1,Columbia Records,New York,Doug Morris
2,XL Recordings,England,Richard Russell
3,Jive Records,New York,Clive Calder
4,RCA,New York,Emile Berliner
5,Captured Tracks,Brooklyn,Mike Sniper
6,Parlophone,Germany,Carl Lindstrom
7,Cash Money,New Orleans,Bryan "Birdman" Williams
8,Young Money,New Orleans,Dwayne Michael Carter
9,Sub Pop,Seattle,Bruce Pavitt
10,DGC,Santa Monica,David Geffen
11,Warner Bros.,Burbank,Albert Warner
12,Reprise,Hoboken,Frank Sinatra
13,Def Jam Recordings,New York,Rick Rubin
14,Roc-A-Fella Records,New York,Damon Dash
